wavelength,polarizability
500,-167.04
500.1,-167.173
500.2,-167.305
500.3,-167.437
500.4,-167.57
500.5,-167.702
500.6,-167.834
500.7,-167.967
500.8,-168.099
500.9,-168.231
501,-168.364
501.1,-168.496
501.2,-168.628
501.3,-168.761
501.4,-168.893
501.5,-169.025
501.6,-169.157
501.7,-169.29
501.8,-169.422
501.9,-169.554
502,-169.687
502.1,-169.819
502.2,-169.951
502.3,-170.083
502.4,-170.216
502.5,-170.348
502.6,-170.48
502.7,-170.613
502.8,-170.745
502.9,-170.877
503,-171.01
503.1,-171.142
503.2,-171.274
503.3,-171.407
503.4,-171.539
503.5,-171.672
503.6,-171.804
503.7,-171.936
503.8,-172.069
503.9,-172.201
504,-172.334
504.1,-172.466
504.2,-172.599
504.3,-172.731
504.4,-172.863
504.5,-172.996
504.6,-173.128
504.7,-173.261
504.8,-173.394
504.9,-173.526
505,-173.659
505.1,-173.791
505.2,-173.924
505.3,-174.056
505.4,-174.189
505.5,-174.322
505.6,-174.454
505.7,-174.587
505.8,-174.72
505.9,-174.853
506,-174.985
506.1,-175.118
506.2,-175.251
506.3,-175.384
506.4,-175.517
506.5,-175.649
506.6,-175.782
506.7,-175.915
506.8,-176.048
506.9,-176.181
507,-176.314
507.1,-176.447
507.2,-176.58
507.3,-176.713
507.4,-176.846
507.5,-176.979
507.6,-177.112
507.7,-177.245
507.8,-177.378
507.9,-177.512
508,-177.645
508.1,-177.778
508.2,-177.911
508.3,-178.045
508.4,-178.178
508.5,-178.311
508.6,-178.445
508.7,-178.578
508.8,-178.712
508.9,-178.845
509,-178.979
509.1,-179.112
509.2,-179.246
509.3,-179.379
509.4,-179.513
509.5,-179.646
509.6,-179.78
509.7,-179.914
509.8,-180.048
509.9,-180.181
510,-180.315
510.1,-180.449
510.2,-180.583
510.3,-180.717
510.4,-180.851
510.5,-180.985
510.6,-181.119
510.7,-181.253
510.8,-181.387
510.9,-181.521
511,-181.655
511.1,-181.789
511.2,-181.924
511.3,-182.058
511.4,-182.192
511.5,-182.326
511.6,-182.461
511.7,-182.595
511.8,-182.73
511.9,-182.864
512,-182.999
512.1,-183.133
512.2,-183.268
512.3,-183.403
512.4,-183.537
512.5,-183.672
512.6,-183.807
512.7,-183.942
512.8,-184.076
512.9,-184.211
513,-184.346
513.1,-184.481
513.2,-184.616
513.3,-184.751
513.4,-184.886
513.5,-185.021
513.6,-185.157
