wavelength,polarizability,Uncertainty
600,-1869.4,65.55
600.01,-1884.69,65.95
600.02,-1900.24,66.36
600.03,-1916.06,66.78
600.04,-1932.14,67.21
600.05,-1948.49,67.64
600.06,-1965.13,68.08
600.07,-1982.06,68.53
600.08,-1999.29,68.99
600.09,-2016.82,69.46
600.1,-2034.66,69.94
600.11,-2052.83,70.42
600.12,-2071.33,70.92
600.13,-2090.16,71.43
600.14,-2109.35,71.95
600.15,-2128.89,72.48
600.16,-2148.81,73.02
600.17,-2169.11,73.57
600.18,-2189.79,74.14
600.19,-2210.88,74.71
600.2,-2232.38,75.3
600.21,-2254.32,75.91
600.22,-2276.69,76.52
600.23,-2299.51,77.15
600.24,-2322.8,77.8
600.25,-2346.57,78.45
600.26,-2370.84,79.13
600.27,-2395.62,79.82
600.28,-2420.93,80.52
600.29,-2446.78,81.24
600.3,-2473.2,81.98
600.31,-2500.2,82.74
600.32,-2527.81,83.52
600.33,-2556.04,84.31
600.34,-2584.91,85.13
600.35,-2614.44,85.96
600.36,-2644.67,86.82
600.37,-2675.61,87.69
600.38,-2707.29,88.6
600.39,-2739.73,89.52
600.4,-2772.97,90.47
600.41,-2807.04,91.44
600.42,-2841.96,92.44
600.43,-2877.76,93.47
600.44,-2914.49,94.52
600.45,-2952.18,95.61
600.46,-2990.87,96.72
600.47,-3030.59,97.87
600.48,-3071.39,99.05
600.49,-3113.31,100.27
600.5,-3156.41,101.52
600.51,-3200.72,102.8
600.52,-3246.31,104.13
600.53,-3293.23,105.5
600.54,-3341.53,106.91
600.55,-3391.29,108.37
600.56,-3442.56,109.87
600.57,-3495.42,111.42
600.58,-3549.94,113.02
600.59,-3606.2,114.68
600.6,-3664.29,116.39
600.61,-3724.3,118.16
600.62,-3786.32,119.99
600.63,-3850.46,121.89
600.64,-3916.83,123.86
600.65,-3985.54,125.9
600.66,-4056.72,128.01
600.67,-4130.52,130.2
600.68,-4207.06,132.48
600.69,-4286.52,134.85
600.7,-4369.06,137.32
600.71,-4454.87,139.88
600.72,-4544.13,142.55
600.73,-4637.07,145.34
600.74,-4733.92,148.24
600.75,-4834.93,151.28
600.76,-4940.37,154.44
600.77,-5050.55,157.76
600.78,-5165.78,161.23
600.79,-5286.42,164.87
600.8,-5412.88,168.68
600.81,-5545.56,172.69
600.82,-5684.96,176.91
600.83,-5831.58,181.34
600.84,-5986.01,186.02
600.85,-6148.89,190.96
600.86,-6320.94,196.18
600.87,-6502.94,201.71
600.88,-6695.79,207.57
600.89,-6900.48,213.79
600.9,-7118.15,220.42
600.91,-7350.07,227.48
600.92,-7597.68,235.03
600.93,-7862.64,243.11
600.94,-8146.83,251.79
600.95,-8452.43,261.12
600.96,-8781.95,271.19
600.97,-9138.31,282.09
600.98,-9524.94,293.92
600.99,-9945.86,306.8
601,-10405.84,320.89
601.01,-10910.59,336.36
601.02,-11466.99,353.42
601.03,-12083.38,372.32
601.04,-12770.01,393.39
601.05,-13539.63,417.02
601.06,-14408.26,443.69
601.07,-15396.3,474.05
601.08,-16530.19,508.89
601.09,-17844.83,549.31
601.1,-19387.16,596.73
601.11,-21221.94,653.16
601.12,-23441.07,721.43
601.13,-26179.47,805.7
601.14,-29643.54,912.31
601.15,-34165.8,1051.52
601.16,-40318.53,1240.95
601.17,-49177.46,1513.72
601.18,-63031.4,1940.35
601.19,-87763.49,2702.02
601.2,-144467.69,4448.43
601.21,-408461.11,12579.35
601.22,493341.16,15196.24
601.23,153759.38,4737.2
601.24,91059.65,2806.12
601.25,64677.05,1993.62
601.26,50144.06,1546.08
601.27,40941.43,1262.72
601.28,34591.03,1067.2
601.29,29944.77,924.17
601.3,26397.82,815
601.31,23601.31,728.95
