wavelength,polarizability,Uncertainty
1100,-583.79,99.56
1100.01,-584.23,99.59
1100.02,-584.66,99.62
1100.03,-585.1,99.65
1100.04,-585.53,99.68
1100.05,-585.97,99.71
1100.06,-586.41,99.74
1100.07,-586.84,99.77
1100.08,-587.28,99.8
1100.09,-587.72,99.83
1100.1,-588.15,99.86
1100.11,-588.59,99.89
1100.12,-589.03,99.91
1100.13,-589.47,99.94
1100.14,-589.9,99.97
1100.15,-590.34,100
1100.16,-590.78,100.03
1100.17,-591.22,100.06
1100.18,-591.66,100.09
1100.19,-592.1,100.12
1100.2,-592.54,100.16
1100.21,-592.98,100.19
1100.22,-593.42,100.22
1100.23,-593.86,100.25
1100.24,-594.3,100.28
1100.25,-594.74,100.31
1100.26,-595.18,100.34
1100.27,-595.63,100.37
1100.28,-596.07,100.4
1100.29,-596.51,100.43
1100.3,-596.95,100.46
1100.31,-597.4,100.49
1100.32,-597.84,100.53
1100.33,-598.28,100.56
1100.34,-598.73,100.59
1100.35,-599.17,100.62
1100.36,-599.61,100.65
1100.37,-600.06,100.68
1100.38,-600.5,100.72
1100.39,-600.95,100.75
1100.4,-601.39,100.78
1100.41,-601.84,100.81
1100.42,-602.29,100.85
1100.43,-602.73,100.88
1100.44,-603.18,100.91
1100.45,-603.63,100.94
1100.46,-604.07,100.98
1100.47,-604.52,101.01
1100.48,-604.97,101.04
1100.49,-605.42,101.07
1100.5,-605.87,101.11
1100.51,-606.31,101.14
1100.52,-606.76,101.17
1100.53,-607.21,101.21
1100.54,-607.66,101.24
1100.55,-608.11,101.27
1100.56,-608.56,101.31
1100.57,-609.02,101.34
1100.58,-609.47,101.37
1100.59,-609.92,101.41
1100.6,-610.37,101.44
1100.61,-610.82,101.48
1100.62,-611.28,101.51
1100.63,-611.73,101.55
1100.64,-612.18,101.58
1100.65,-612.63,101.61
1100.66,-613.09,101.65
1100.67,-613.54,101.68
1100.68,-614,101.72
1100.69,-614.45,101.75
1100.7,-614.91,101.79
1100.71,-615.36,101.82
1100.72,-615.82,101.86
1100.73,-616.28,101.89
1100.74,-616.73,101.93
1100.75,-617.19,101.96
1100.76,-617.65,102
1100.77,-618.11,102.04
1100.78,-618.56,102.07
1100.79,-619.02,102.11
1100.8,-619.48,102.14
1100.81,-619.94,102.18
1100.82,-620.4,102.22
1100.83,-620.86,102.25
1100.84,-621.32,102.29
1100.85,-621.78,102.32
1100.86,-622.25,102.36
1100.87,-622.71,102.4
1100.88,-623.17,102.44
1100.89,-623.63,102.47
1100.9,-624.09,102.51
1100.91,-624.56,102.55
1100.92,-625.02,102.58
1100.93,-625.49,102.62
1100.94,-625.95,102.66
1100.95,-626.42,102.7
1100.96,-626.88,102.73
1100.97,-627.35,102.77
1100.98,-627.81,102.81
1100.99,-628.28,102.85
1101,-628.75,102.88
1101.01,-629.21,102.92
1101.02,-629.68,102.96
1101.03,-630.15,103
1101.04,-630.62,103.04
1101.05,-631.09,103.08
1101.06,-631.56,103.12
1101.07,-632.03,103.15
1101.08,-632.5,103.19
1101.09,-632.97,103.23
1101.1,-633.44,103.27
1101.11,-633.91,103.31
1101.12,-634.38,103.35
1101.13,-634.86,103.39
1101.14,-635.33,103.43
1101.15,-635.8,103.47
1101.16,-636.28,103.51
1101.17,-636.75,103.55
1101.18,-637.23,103.59
1101.19,-637.7,103.63
1101.2,-638.18,103.67
1101.21,-638.65,103.71
1101.22,-639.13,103.75
1101.23,-639.61,103.79
1101.24,-640.08,103.83
1101.25,-640.56,103.87
1101.26,-641.04,103.91
1101.27,-641.52,103.95
1101.28,-642,103.99
1101.29,-642.48,104.04
1101.3,-642.96,104.08
1101.31,-643.44,104.12
1101.32,-643.92,104.16
1101.33,-644.4,104.2
1101.34,-644.89,104.24
1101.35,-645.37,104.28
1101.36,-645.85,104.33
1101.37,-646.34,104.37
1101.38,-646.82,104.41
1101.39,-647.3,104.45
1101.4,-647.79,104.5
1101.41,-648.28,104.54
1101.42,-648.76,104.58
1101.43,-649.25,104.62
1101.44,-649.74,104.67
1101.45,-650.22,104.71
1101.46,-650.71,104.75
1101.47,-651.2,104.8
1101.48,-651.69,104.84
1101.49,-652.18,104.88
1101.5,-652.67,104.93
1101.51,-653.16,104.97
1101.52,-653.65,105.02
1101.53,-654.14,105.06
1101.54,-654.64,105.1
1101.55,-655.13,105.15
1101.56,-655.62,105.19
1101.57,-656.12,105.24
1101.58,-656.61,105.28
1101.59,-657.11,105.33
1101.6,-657.6,105.37
1101.61,-658.1,105.42
1101.62,-658.6,105.46
1101.63,-659.09,105.51
1101.64,-659.59,105.55
1101.65,-660.09,105.6
1101.66,-660.59,105.64
1101.67,-661.09,105.69
1101.68,-661.59,105.74
1101.69,-662.09,105.78
1101.7,-662.59,105.83
1101.71,-663.09,105.87
1101.72,-663.59,105.92
1101.73,-664.1,105.97
1101.74,-664.6,106.01
1101.75,-665.1,106.06
1101.76,-665.61,106.11
1101.77,-666.11,106.15
1101.78,-666.62,106.2
1101.79,-667.12,106.25
1101.8,-667.63,106.3
1101.81,-668.14,106.34
1101.82,-668.65,106.39
1101.83,-669.16,106.44
1101.84,-669.66,106.49
1101.85,-670.17,106.54
1101.86,-670.69,106.58
1101.87,-671.2,106.63
1101.88,-671.71,106.68
1101.89,-672.22,106.73
1101.9,-672.73,106.78
1101.91,-673.25,106.83
1101.92,-673.76,106.88
1101.93,-674.28,106.93
1101.94,-674.79,106.98
1101.95,-675.31,107.02
1101.96,-675.82,107.07
1101.97,-676.34,107.12
1101.98,-676.86,107.17
1101.99,-677.38,107.22
1102,-677.9,107.27
1102.01,-678.42,107.32
1102.02,-678.94,107.38
1102.03,-679.46,107.43
1102.04,-679.98,107.48
1102.05,-680.5,107.53
1102.06,-681.02,107.58
1102.07,-681.55,107.63
1102.08,-682.07,107.68
1102.09,-682.6,107.73
1102.1,-683.12,107.78
1102.11,-683.65,107.84
1102.12,-684.18,107.89
1102.13,-684.7,107.94
1102.14,-685.23,107.99
1102.15,-685.76,108.04
1102.16,-686.29,108.1
1102.17,-686.82,108.15
1102.18,-687.35,108.2
1102.19,-687.88,108.25
1102.2,-688.42,108.31
1102.21,-688.95,108.36
1102.22,-689.48,108.41
1102.23,-690.02,108.47
1102.24,-690.55,108.52
1102.25,-691.09,108.58
1102.26,-691.62,108.63
1102.27,-692.16,108.68
1102.28,-692.7,108.74
1102.29,-693.24,108.79
1102.3,-693.78,108.85
1102.31,-694.32,108.9
1102.32,-694.86,108.96
1102.33,-695.4,109.01
1102.34,-695.94,109.07
1102.35,-696.48,109.12
1102.36,-697.03,109.18
1102.37,-697.57,109.23
1102.38,-698.12,109.29
1102.39,-698.66,109.34
1102.4,-699.21,109.4
1102.41,-699.76,109.46
1102.42,-700.31,109.51
1102.43,-700.85,109.57
1102.44,-701.4,109.63
1102.45,-701.95,109.68
1102.46,-702.51,109.74
1102.47,-703.06,109.8
1102.48,-703.61,109.86
1102.49,-704.16,109.91
1102.5,-704.72,109.97
1102.51,-705.27,110.03
1102.52,-705.83,110.09
1102.53,-706.38,110.14
1102.54,-706.94,110.2
1102.55,-707.5,110.26
1102.56,-708.06,110.32
1102.57,-708.62,110.38
1102.58,-709.18,110.44
1102.59,-709.74,110.5
1102.6,-710.3,110.56
1102.61,-710.87,110.62
1102.62,-711.43,110.68
1102.63,-711.99,110.74
1102.64,-712.56,110.8
1102.65,-713.12,110.86
1102.66,-713.69,110.92
1102.67,-714.26,110.98
1102.68,-714.83,111.04
1102.69,-715.4,111.1
1102.7,-715.97,111.16
1102.71,-716.54,111.22
1102.72,-717.11,111.28
1102.73,-717.68,111.34
1102.74,-718.26,111.41
1102.75,-718.83,111.47
1102.76,-719.41,111.53
1102.77,-719.98,111.59
1102.78,-720.56,111.65
1102.79,-721.14,111.72
1102.8,-721.72,111.78
1102.81,-722.3,111.84
1102.82,-722.88,111.91
1102.83,-723.46,111.97
1102.84,-724.04,112.03
1102.85,-724.62,112.1
1102.86,-725.21,112.16
1102.87,-725.79,112.23
1102.88,-726.38,112.29
1102.89,-726.96,112.35
1102.9,-727.55,112.42
1102.91,-728.14,112.48
1102.92,-728.73,112.55
1102.93,-729.32,112.61
1102.94,-729.91,112.68
1102.95,-730.5,112.74
1102.96,-731.09,112.81
1102.97,-731.69,112.88
1102.98,-732.28,112.94
1102.99,-732.88,113.01
1103,-733.48,113.08
1103.01,-734.07,113.14
1103.02,-734.67,113.21
1103.03,-735.27,113.28
1103.04,-735.87,113.34
1103.05,-736.47,113.41
1103.06,-737.08,113.48
1103.07,-737.68,113.55
1103.08,-738.28,113.62
1103.09,-738.89,113.68
1103.1,-739.49,113.75
1103.11,-740.1,113.82
1103.12,-740.71,113.89
1103.13,-741.32,113.96
1103.14,-741.93,114.03
1103.15,-742.54,114.1
1103.16,-743.15,114.17
1103.17,-743.76,114.24
1103.18,-744.38,114.31
1103.19,-744.99,114.38
1103.2,-745.61,114.45
1103.21,-746.23,114.52
1103.22,-746.84,114.59
1103.23,-747.46,114.66
1103.24,-748.08,114.73
1103.25,-748.71,114.8
1103.26,-749.33,114.88
1103.27,-749.95,114.95
1103.28,-750.57,115.02
1103.29,-751.2,115.09
1103.3,-751.83,115.16
1103.31,-752.45,115.24
1103.32,-753.08,115.31
1103.33,-753.71,115.38
1103.34,-754.34,115.46
1103.35,-754.97,115.53
1103.36,-755.61,115.6
1103.37,-756.24,115.68
1103.38,-756.87,115.75
1103.39,-757.51,115.83
1103.4,-758.15,115.9
1103.41,-758.79,115.98
1103.42,-759.42,116.05
1103.43,-760.06,116.13
1103.44,-760.71,116.2
1103.45,-761.35,116.28
1103.46,-761.99,116.36
1103.47,-762.64,116.43
1103.48,-763.28,116.51
1103.49,-763.93,116.59
1103.5,-764.58,116.66
1103.51,-765.23,116.74
1103.52,-765.88,116.82
1103.53,-766.53,116.89
1103.54,-767.18,116.97
1103.55,-767.83,117.05
1103.56,-768.49,117.13
1103.57,-769.15,117.21
1103.58,-769.8,117.29
1103.59,-770.46,117.37
1103.6,-771.12,117.44
1103.61,-771.78,117.52
1103.62,-772.44,117.6
1103.63,-773.11,117.68
1103.64,-773.77,117.76
1103.65,-774.44,117.84
1103.66,-775.1,117.93
1103.67,-775.77,118.01
1103.68,-776.44,118.09
1103.69,-777.11,118.17
1103.7,-777.78,118.25
1103.71,-778.45,118.33
1103.72,-779.13,118.42
1103.73,-779.8,118.5
1103.74,-780.48,118.58
1103.75,-781.16,118.66
1103.76,-781.84,118.75
1103.77,-782.52,118.83
1103.78,-783.2,118.91
1103.79,-783.88,119
1103.8,-784.56,119.08
1103.81,-785.25,119.17
1103.82,-785.94,119.25
1103.83,-786.62,119.34
1103.84,-787.31,119.42
1103.85,-788,119.51
1103.86,-788.69,119.59
1103.87,-789.39,119.68
1103.88,-790.08,119.77
1103.89,-790.78,119.85
1103.9,-791.47,119.94
1103.91,-792.17,120.03
1103.92,-792.87,120.11
1103.93,-793.57,120.2
1103.94,-794.27,120.29
1103.95,-794.98,120.38
1103.96,-795.68,120.46
1103.97,-796.39,120.55
1103.98,-797.1,120.64
1103.99,-797.8,120.73
1104,-798.52,120.82
1104.01,-799.23,120.91
1104.02,-799.94,121
1104.03,-800.65,121.09
1104.04,-801.37,121.18
1104.05,-802.09,121.27
1104.06,-802.81,121.36
1104.07,-803.53,121.46
1104.08,-804.25,121.55
1104.09,-804.97,121.64
1104.1,-805.69,121.73
1104.11,-806.42,121.82
1104.12,-807.15,121.92
1104.13,-807.88,122.01
1104.14,-808.61,122.1
1104.15,-809.34,122.2
1104.16,-810.07,122.29
