wavelength,,Uncertainty,,,,Uncertainty,,polarizability
1100,-583.79,99.56,,1100,1035.75,3.14,,-1619.54
1100.01,-584.23,99.59,,1100.01,1035.72,3.14,,-1619.95
1100.02,-584.66,99.62,,1100.02,1035.69,3.14,,-1620.35
1100.03,-585.1,99.65,,1100.03,1035.66,3.14,,-1620.76
1100.04,-585.53,99.68,,1100.04,1035.63,3.14,,-1621.16
1100.05,-585.97,99.71,,1100.05,1035.6,3.14,,-1621.57
1100.06,-586.41,99.74,,1100.06,1035.57,3.14,,-1621.98
1100.07,-586.84,99.77,,1100.07,1035.54,3.14,,-1622.38
1100.08,-587.28,99.8,,1100.08,1035.5,3.14,,-1622.78
1100.09,-587.72,99.83,,1100.09,1035.47,3.14,,-1623.19
1100.1,-588.15,99.86,,1100.1,1035.44,3.14,,-1623.59
1100.11,-588.59,99.89,,1100.11,1035.41,3.14,,-1624
1100.12,-589.03,99.91,,1100.12,1035.38,3.14,,-1624.41
1100.13,-589.47,99.94,,1100.13,1035.35,3.14,,-1624.82
1100.14,-589.9,99.97,,1100.14,1035.32,3.14,,-1625.22
1100.15,-590.34,100,,1100.15,1035.29,3.13,,-1625.63
1100.16,-590.78,100.03,,1100.16,1035.26,3.13,,-1626.04
1100.17,-591.22,100.06,,1100.17,1035.23,3.13,,-1626.45
1100.18,-591.66,100.09,,1100.18,1035.19,3.13,,-1626.85
1100.19,-592.1,100.12,,1100.19,1035.16,3.13,,-1627.26
1100.2,-592.54,100.16,,1100.2,1035.13,3.13,,-1627.67
1100.21,-592.98,100.19,,1100.21,1035.1,3.13,,-1628.08
1100.22,-593.42,100.22,,1100.22,1035.07,3.13,,-1628.49
1100.23,-593.86,100.25,,1100.23,1035.04,3.13,,-1628.9
1100.24,-594.3,100.28,,1100.24,1035.01,3.13,,-1629.31
1100.25,-594.74,100.31,,1100.25,1034.98,3.13,,-1629.72
1100.26,-595.18,100.34,,1100.26,1034.95,3.13,,-1630.13
1100.27,-595.63,100.37,,1100.27,1034.92,3.13,,-1630.55
1100.28,-596.07,100.4,,1100.28,1034.89,3.13,,-1630.96
1100.29,-596.51,100.43,,1100.29,1034.85,3.13,,-1631.36
1100.3,-596.95,100.46,,1100.3,1034.82,3.13,,-1631.77
1100.31,-597.4,100.49,,1100.31,1034.79,3.13,,-1632.19
1100.32,-597.84,100.53,,1100.32,1034.76,3.13,,-1632.6
1100.33,-598.28,100.56,,1100.33,1034.73,3.13,,-1633.01
1100.34,-598.73,100.59,,1100.34,1034.7,3.13,,-1633.43
1100.35,-599.17,100.62,,1100.35,1034.67,3.13,,-1633.84
1100.36,-599.61,100.65,,1100.36,1034.64,3.13,,-1634.25
1100.37,-600.06,100.68,,1100.37,1034.61,3.13,,-1634.67
1100.38,-600.5,100.72,,1100.38,1034.58,3.13,,-1635.08
1100.39,-600.95,100.75,,1100.39,1034.54,3.13,,-1635.49
1100.4,-601.39,100.78,,1100.4,1034.51,3.13,,-1635.9
1100.41,-601.84,100.81,,1100.41,1034.48,3.13,,-1636.32
1100.42,-602.29,100.85,,1100.42,1034.45,3.13,,-1636.74
1100.43,-602.73,100.88,,1100.43,1034.42,3.13,,-1637.15
1100.44,-603.18,100.91,,1100.44,1034.39,3.13,,-1637.57
1100.45,-603.63,100.94,,1100.45,1034.36,3.13,,-1637.99
1100.46,-604.07,100.98,,1100.46,1034.33,3.13,,-1638.4
1100.47,-604.52,101.01,,1100.47,1034.3,3.13,,-1638.82
1100.48,-604.97,101.04,,1100.48,1034.27,3.13,,-1639.24
1100.49,-605.42,101.07,,1100.49,1034.24,3.13,,-1639.66
1100.5,-605.87,101.11,,1100.5,1034.2,3.13,,-1640.07
1100.51,-606.31,101.14,,1100.51,1034.17,3.13,,-1640.48
1100.52,-606.76,101.17,,1100.52,1034.14,3.13,,-1640.9
1100.53,-607.21,101.21,,1100.53,1034.11,3.13,,-1641.32
1100.54,-607.66,101.24,,1100.54,1034.08,3.13,,-1641.74
1100.55,-608.11,101.27,,1100.55,1034.05,3.13,,-1642.16
1100.56,-608.56,101.31,,1100.56,1034.02,3.13,,-1642.58
1100.57,-609.02,101.34,,1100.57,1033.99,3.13,,-1643.01
1100.58,-609.47,101.37,,1100.58,1033.96,3.13,,-1643.43
1100.59,-609.92,101.41,,1100.59,1033.93,3.13,,-1643.85
1100.6,-610.37,101.44,,1100.6,1033.9,3.13,,-1644.27
1100.61,-610.82,101.48,,1100.61,1033.86,3.13,,-1644.68
1100.62,-611.28,101.51,,1100.62,1033.83,3.13,,-1645.11
1100.63,-611.73,101.55,,1100.63,1033.8,3.13,,-1645.53
1100.64,-612.18,101.58,,1100.64,1033.77,3.13,,-1645.95
1100.65,-612.63,101.61,,1100.65,1033.74,3.13,,-1646.37
1100.66,-613.09,101.65,,1100.66,1033.71,3.13,,-1646.8
1100.67,-613.54,101.68,,1100.67,1033.68,3.13,,-1647.22
1100.68,-614,101.72,,1100.68,1033.65,3.13,,-1647.65
1100.69,-614.45,101.75,,1100.69,1033.62,3.13,,-1648.07
1100.7,-614.91,101.79,,1100.7,1033.59,3.13,,-1648.5
1100.71,-615.36,101.82,,1100.71,1033.56,3.13,,-1648.92
1100.72,-615.82,101.86,,1100.72,1033.53,3.13,,-1649.35
1100.73,-616.28,101.89,,1100.73,1033.49,3.13,,-1649.77
1100.74,-616.73,101.93,,1100.74,1033.46,3.13,,-1650.19
1100.75,-617.19,101.96,,1100.75,1033.43,3.13,,-1650.62
1100.76,-617.65,102,,1100.76,1033.4,3.13,,-1651.05
1100.77,-618.11,102.04,,1100.77,1033.37,3.13,,-1651.48
1100.78,-618.56,102.07,,1100.78,1033.34,3.13,,-1651.9
1100.79,-619.02,102.11,,1100.79,1033.31,3.13,,-1652.33
1100.8,-619.48,102.14,,1100.8,1033.28,3.13,,-1652.76
1100.81,-619.94,102.18,,1100.81,1033.25,3.13,,-1653.19
1100.82,-620.4,102.22,,1100.82,1033.22,3.13,,-1653.62
1100.83,-620.86,102.25,,1100.83,1033.19,3.13,,-1654.05
1100.84,-621.32,102.29,,1100.84,1033.16,3.13,,-1654.48
1100.85,-621.78,102.32,,1100.85,1033.12,3.13,,-1654.9
1100.86,-622.25,102.36,,1100.86,1033.09,3.13,,-1655.34
1100.87,-622.71,102.4,,1100.87,1033.06,3.13,,-1655.77
1100.88,-623.17,102.44,,1100.88,1033.03,3.13,,-1656.2
1100.89,-623.63,102.47,,1100.89,1033,3.13,,-1656.63
1100.9,-624.09,102.51,,1100.9,1032.97,3.13,,-1657.06
1100.91,-624.56,102.55,,1100.91,1032.94,3.13,,-1657.5
1100.92,-625.02,102.58,,1100.92,1032.91,3.13,,-1657.93
1100.93,-625.49,102.62,,1100.93,1032.88,3.13,,-1658.37
1100.94,-625.95,102.66,,1100.94,1032.85,3.13,,-1658.8
1100.95,-626.42,102.7,,1100.95,1032.82,3.13,,-1659.24
1100.96,-626.88,102.73,,1100.96,1032.79,3.13,,-1659.67
1100.97,-627.35,102.77,,1100.97,1032.76,3.13,,-1660.11
1100.98,-627.81,102.81,,1100.98,1032.72,3.13,,-1660.53
1100.99,-628.28,102.85,,1100.99,1032.69,3.13,,-1660.97
1101,-628.75,102.88,,1101,1032.66,3.13,,-1661.41
1101.01,-629.21,102.92,,1101.01,1032.63,3.13,,-1661.84
1101.02,-629.68,102.96,,1101.02,1032.6,3.13,,-1662.28
1101.03,-630.15,103,,1101.03,1032.57,3.13,,-1662.72
1101.04,-630.62,103.04,,1101.04,1032.54,3.13,,-1663.16
1101.05,-631.09,103.08,,1101.05,1032.51,3.13,,-1663.6
1101.06,-631.56,103.12,,1101.06,1032.48,3.13,,-1664.04
1101.07,-632.03,103.15,,1101.07,1032.45,3.13,,-1664.48
1101.08,-632.5,103.19,,1101.08,1032.42,3.13,,-1664.92
1101.09,-632.97,103.23,,1101.09,1032.39,3.13,,-1665.36
1101.1,-633.44,103.27,,1101.1,1032.36,3.13,,-1665.8
1101.11,-633.91,103.31,,1101.11,1032.32,3.13,,-1666.23
1101.12,-634.38,103.35,,1101.12,1032.29,3.13,,-1666.67
1101.13,-634.86,103.39,,1101.13,1032.26,3.13,,-1667.12
1101.14,-635.33,103.43,,1101.14,1032.23,3.12,,-1667.56
1101.15,-635.8,103.47,,1101.15,1032.2,3.12,,-1668
1101.16,-636.28,103.51,,1101.16,1032.17,3.12,,-1668.45
1101.17,-636.75,103.55,,1101.17,1032.14,3.12,,-1668.89
1101.18,-637.23,103.59,,1101.18,1032.11,3.12,,-1669.34
1101.19,-637.7,103.63,,1101.19,1032.08,3.12,,-1669.78
1101.2,-638.18,103.67,,1101.2,1032.05,3.12,,-1670.23
1101.21,-638.65,103.71,,1101.21,1032.02,3.12,,-1670.67
1101.22,-639.13,103.75,,1101.22,1031.99,3.12,,-1671.12
1101.23,-639.61,103.79,,1101.23,1031.96,3.12,,-1671.57
1101.24,-640.08,103.83,,1101.24,1031.93,3.12,,-1672.01
1101.25,-640.56,103.87,,1101.25,1031.89,3.12,,-1672.45
1101.26,-641.04,103.91,,1101.26,1031.86,3.12,,-1672.9
1101.27,-641.52,103.95,,1101.27,1031.83,3.12,,-1673.35
1101.28,-642,103.99,,1101.28,1031.8,3.12,,-1673.8
1101.29,-642.48,104.04,,1101.29,1031.77,3.12,,-1674.25
1101.3,-642.96,104.08,,1101.3,1031.74,3.12,,-1674.7
1101.31,-643.44,104.12,,1101.31,1031.71,3.12,,-1675.15
1101.32,-643.92,104.16,,1101.32,1031.68,3.12,,-1675.6
1101.33,-644.4,104.2,,1101.33,1031.65,3.12,,-1676.05
1101.34,-644.89,104.24,,1101.34,1031.62,3.12,,-1676.51
1101.35,-645.37,104.28,,1101.35,1031.59,3.12,,-1676.96
1101.36,-645.85,104.33,,1101.36,1031.56,3.12,,-1677.41
1101.37,-646.34,104.37,,1101.37,1031.53,3.12,,-1677.87
1101.38,-646.82,104.41,,1101.38,1031.5,3.12,,-1678.32
1101.39,-647.3,104.45,,1101.39,1031.47,3.12,,-1678.77
1101.4,-647.79,104.5,,1101.4,1031.43,3.12,,-1679.22
1101.41,-648.28,104.54,,1101.41,1031.4,3.12,,-1679.68
1101.42,-648.76,104.58,,1101.42,1031.37,3.12,,-1680.13
1101.43,-649.25,104.62,,1101.43,1031.34,3.12,,-1680.59
1101.44,-649.74,104.67,,1101.44,1031.31,3.12,,-1681.05
1101.45,-650.22,104.71,,1101.45,1031.28,3.12,,-1681.5
1101.46,-650.71,104.75,,1101.46,1031.25,3.12,,-1681.96
1101.47,-651.2,104.8,,1101.47,1031.22,3.12,,-1682.42
1101.48,-651.69,104.84,,1101.48,1031.19,3.12,,-1682.88
1101.49,-652.18,104.88,,1101.49,1031.16,3.12,,-1683.34
1101.5,-652.67,104.93,,1101.5,1031.13,3.12,,-1683.8
1101.51,-653.16,104.97,,1101.51,1031.1,3.12,,-1684.26
1101.52,-653.65,105.02,,1101.52,1031.07,3.12,,-1684.72
1101.53,-654.14,105.06,,1101.53,1031.04,3.12,,-1685.18
1101.54,-654.64,105.1,,1101.54,1031.01,3.12,,-1685.65
1101.55,-655.13,105.15,,1101.55,1030.98,3.12,,-1686.11
1101.56,-655.62,105.19,,1101.56,1030.94,3.12,,-1686.56
1101.57,-656.12,105.24,,1101.57,1030.91,3.12,,-1687.03
1101.58,-656.61,105.28,,1101.58,1030.88,3.12,,-1687.49
1101.59,-657.11,105.33,,1101.59,1030.85,3.12,,-1687.96
1101.6,-657.6,105.37,,1101.6,1030.82,3.12,,-1688.42
1101.61,-658.1,105.42,,1101.61,1030.79,3.12,,-1688.89
1101.62,-658.6,105.46,,1101.62,1030.76,3.12,,-1689.36
1101.63,-659.09,105.51,,1101.63,1030.73,3.12,,-1689.82
1101.64,-659.59,105.55,,1101.64,1030.7,3.12,,-1690.29
1101.65,-660.09,105.6,,1101.65,1030.67,3.12,,-1690.76
1101.66,-660.59,105.64,,1101.66,1030.64,3.12,,-1691.23
1101.67,-661.09,105.69,,1101.67,1030.61,3.12,,-1691.7
1101.68,-661.59,105.74,,1101.68,1030.58,3.12,,-1692.17
1101.69,-662.09,105.78,,1101.69,1030.55,3.12,,-1692.64
1101.7,-662.59,105.83,,1101.7,1030.52,3.12,,-1693.11
1101.71,-663.09,105.87,,1101.71,1030.49,3.12,,-1693.58
1101.72,-663.59,105.92,,1101.72,1030.45,3.12,,-1694.04
1101.73,-664.1,105.97,,1101.73,1030.42,3.12,,-1694.52
1101.74,-664.6,106.01,,1101.74,1030.39,3.12,,-1694.99
1101.75,-665.1,106.06,,1101.75,1030.36,3.12,,-1695.46
1101.76,-665.61,106.11,,1101.76,1030.33,3.12,,-1695.94
1101.77,-666.11,106.15,,1101.77,1030.3,3.12,,-1696.41
1101.78,-666.62,106.2,,1101.78,1030.27,3.12,,-1696.89
1101.79,-667.12,106.25,,1101.79,1030.24,3.12,,-1697.36
1101.8,-667.63,106.3,,1101.8,1030.21,3.12,,-1697.84
1101.81,-668.14,106.34,,1101.81,1030.18,3.12,,-1698.32
1101.82,-668.65,106.39,,1101.82,1030.15,3.12,,-1698.8
1101.83,-669.16,106.44,,1101.83,1030.12,3.12,,-1699.28
1101.84,-669.66,106.49,,1101.84,1030.09,3.12,,-1699.75
1101.85,-670.17,106.54,,1101.85,1030.06,3.12,,-1700.23
1101.86,-670.69,106.58,,1101.86,1030.03,3.12,,-1700.72
1101.87,-671.2,106.63,,1101.87,1030,3.12,,-1701.2
1101.88,-671.71,106.68,,1101.88,1029.97,3.12,,-1701.68
1101.89,-672.22,106.73,,1101.89,1029.94,3.12,,-1702.16
1101.9,-672.73,106.78,,1101.9,1029.91,3.12,,-1702.64
1101.91,-673.25,106.83,,1101.91,1029.87,3.12,,-1703.12
1101.92,-673.76,106.88,,1101.92,1029.84,3.12,,-1703.6
1101.93,-674.28,106.93,,1101.93,1029.81,3.12,,-1704.09
1101.94,-674.79,106.98,,1101.94,1029.78,3.12,,-1704.57
1101.95,-675.31,107.02,,1101.95,1029.75,3.12,,-1705.06
1101.96,-675.82,107.07,,1101.96,1029.72,3.12,,-1705.54
1101.97,-676.34,107.12,,1101.97,1029.69,3.12,,-1706.03
1101.98,-676.86,107.17,,1101.98,1029.66,3.12,,-1706.52
1101.99,-677.38,107.22,,1101.99,1029.63,3.12,,-1707.01
1102,-677.9,107.27,,1102,1029.6,3.12,,-1707.5
1102.01,-678.42,107.32,,1102.01,1029.57,3.12,,-1707.99
1102.02,-678.94,107.38,,1102.02,1029.54,3.12,,-1708.48
1102.03,-679.46,107.43,,1102.03,1029.51,3.12,,-1708.97
1102.04,-679.98,107.48,,1102.04,1029.48,3.12,,-1709.46
1102.05,-680.5,107.53,,1102.05,1029.45,3.12,,-1709.95
1102.06,-681.02,107.58,,1102.06,1029.42,3.12,,-1710.44
1102.07,-681.55,107.63,,1102.07,1029.39,3.12,,-1710.94
1102.08,-682.07,107.68,,1102.08,1029.36,3.12,,-1711.43
1102.09,-682.6,107.73,,1102.09,1029.33,3.12,,-1711.93
1102.1,-683.12,107.78,,1102.1,1029.3,3.12,,-1712.42
1102.11,-683.65,107.84,,1102.11,1029.26,3.12,,-1712.91
1102.12,-684.18,107.89,,1102.12,1029.23,3.12,,-1713.41
1102.13,-684.7,107.94,,1102.13,1029.2,3.12,,-1713.9
1102.14,-685.23,107.99,,1102.14,1029.17,3.11,,-1714.4
1102.15,-685.76,108.04,,1102.15,1029.14,3.11,,-1714.9
1102.16,-686.29,108.1,,1102.16,1029.11,3.11,,-1715.4
