wavelength             alpha(7p1/2)         Uncertainty
1100.00000              -583.79                99.56
1100.01000              -584.23                99.59
1100.02000              -584.66                99.62
1100.03000              -585.10                99.65
1100.04000              -585.53                99.68
1100.05000              -585.97                99.71
1100.06000              -586.41                99.74
1100.07000              -586.84                99.77
1100.08000              -587.28                99.80
1100.09000              -587.72                99.83
1100.10000              -588.15                99.86
1100.11000              -588.59                99.89
1100.12000              -589.03                99.91
1100.13000              -589.47                99.94
1100.14000              -589.90                99.97
1100.15000              -590.34               100.00
1100.16000              -590.78               100.03
1100.17000              -591.22               100.06
1100.18000              -591.66               100.09
1100.19000              -592.10               100.12
1100.20000              -592.54               100.16
1100.21000              -592.98               100.19
1100.22000              -593.42               100.22
1100.23000              -593.86               100.25
1100.24000              -594.30               100.28
1100.25000              -594.74               100.31
1100.26000              -595.18               100.34
1100.27000              -595.63               100.37
1100.28000              -596.07               100.40
1100.29000              -596.51               100.43
1100.30000              -596.95               100.46
1100.31000              -597.40               100.49
1100.32000              -597.84               100.53
1100.33000              -598.28               100.56
1100.34000              -598.73               100.59
1100.35000              -599.17               100.62
1100.36000              -599.61               100.65
1100.37000              -600.06               100.68
1100.38000              -600.50               100.72
1100.39000              -600.95               100.75
1100.40000              -601.39               100.78
1100.41000              -601.84               100.81
1100.42000              -602.29               100.85
1100.43000              -602.73               100.88
1100.44000              -603.18               100.91
1100.45000              -603.63               100.94
1100.46000              -604.07               100.98
1100.47000              -604.52               101.01
1100.48000              -604.97               101.04
1100.49000              -605.42               101.07
1100.50000              -605.87               101.11
1100.51000              -606.31               101.14
1100.52000              -606.76               101.17
1100.53000              -607.21               101.21
1100.54000              -607.66               101.24
1100.55000              -608.11               101.27
1100.56000              -608.56               101.31
1100.57000              -609.02               101.34
1100.58000              -609.47               101.37
1100.59000              -609.92               101.41
1100.60000              -610.37               101.44
1100.61000              -610.82               101.48
1100.62000              -611.28               101.51
1100.63000              -611.73               101.55
1100.64000              -612.18               101.58
1100.65000              -612.63               101.61
1100.66000              -613.09               101.65
1100.67000              -613.54               101.68
1100.68000              -614.00               101.72
1100.69000              -614.45               101.75
1100.70000              -614.91               101.79
1100.71000              -615.36               101.82
1100.72000              -615.82               101.86
1100.73000              -616.28               101.89
1100.74000              -616.73               101.93
1100.75000              -617.19               101.96
1100.76000              -617.65               102.00
1100.77000              -618.11               102.04
1100.78000              -618.56               102.07
1100.79000              -619.02               102.11
1100.80000              -619.48               102.14
1100.81000              -619.94               102.18
1100.82000              -620.40               102.22
1100.83000              -620.86               102.25
1100.84000              -621.32               102.29
1100.85000              -621.78               102.32
1100.86000              -622.25               102.36
1100.87000              -622.71               102.40
1100.88000              -623.17               102.44
1100.89000              -623.63               102.47
1100.90000              -624.09               102.51
1100.91000              -624.56               102.55
1100.92000              -625.02               102.58
1100.93000              -625.49               102.62
1100.94000              -625.95               102.66
1100.95000              -626.42               102.70
1100.96000              -626.88               102.73
1100.97000              -627.35               102.77
1100.98000              -627.81               102.81
1100.99000              -628.28               102.85
1101.00000              -628.75               102.88
1101.01000              -629.21               102.92
1101.02000              -629.68               102.96
1101.03000              -630.15               103.00
1101.04000              -630.62               103.04
1101.05000              -631.09               103.08
1101.06000              -631.56               103.12
1101.07000              -632.03               103.15
1101.08000              -632.50               103.19
1101.09000              -632.97               103.23
1101.10000              -633.44               103.27
1101.11000              -633.91               103.31
1101.12000              -634.38               103.35
1101.13000              -634.86               103.39
1101.14000              -635.33               103.43
1101.15000              -635.80               103.47
1101.16000              -636.28               103.51
1101.17000              -636.75               103.55
1101.18000              -637.23               103.59
1101.19000              -637.70               103.63
1101.20000              -638.18               103.67
1101.21000              -638.65               103.71
1101.22000              -639.13               103.75
1101.23000              -639.61               103.79
1101.24000              -640.08               103.83
1101.25000              -640.56               103.87
1101.26000              -641.04               103.91
1101.27000              -641.52               103.95
1101.28000              -642.00               103.99
1101.29000              -642.48               104.04
1101.30000              -642.96               104.08
1101.31000              -643.44               104.12
1101.32000              -643.92               104.16
1101.33000              -644.40               104.20
1101.34000              -644.89               104.24
1101.35000              -645.37               104.28
1101.36000              -645.85               104.33
1101.37000              -646.34               104.37
1101.38000              -646.82               104.41
1101.39000              -647.30               104.45
1101.40000              -647.79               104.50
1101.41000              -648.28               104.54
1101.42000              -648.76               104.58
1101.43000              -649.25               104.62
1101.44000              -649.74               104.67
1101.45000              -650.22               104.71
1101.46000              -650.71               104.75
1101.47000              -651.20               104.80
1101.48000              -651.69               104.84
1101.49000              -652.18               104.88
1101.50000              -652.67               104.93
1101.51000              -653.16               104.97
1101.52000              -653.65               105.02
1101.53000              -654.14               105.06
1101.54000              -654.64               105.10
1101.55000              -655.13               105.15
1101.56000              -655.62               105.19
1101.57000              -656.12               105.24
1101.58000              -656.61               105.28
1101.59000              -657.11               105.33
1101.60000              -657.60               105.37
1101.61000              -658.10               105.42
1101.62000              -658.60               105.46
1101.63000              -659.09               105.51
1101.64000              -659.59               105.55
1101.65000              -660.09               105.60
1101.66000              -660.59               105.64
1101.67000              -661.09               105.69
1101.68000              -661.59               105.74
1101.69000              -662.09               105.78
1101.70000              -662.59               105.83
1101.71000              -663.09               105.87
1101.72000              -663.59               105.92
1101.73000              -664.10               105.97
1101.74000              -664.60               106.01
1101.75000              -665.10               106.06
1101.76000              -665.61               106.11
1101.77000              -666.11               106.15
1101.78000              -666.62               106.20
1101.79000              -667.12               106.25
1101.80000              -667.63               106.30
1101.81000              -668.14               106.34
1101.82000              -668.65               106.39
1101.83000              -669.16               106.44
1101.84000              -669.66               106.49
1101.85000              -670.17               106.54
1101.86000              -670.69               106.58
1101.87000              -671.20               106.63
1101.88000              -671.71               106.68
1101.89000              -672.22               106.73
1101.90000              -672.73               106.78
1101.91000              -673.25               106.83
1101.92000              -673.76               106.88
1101.93000              -674.28               106.93
1101.94000              -674.79               106.98
1101.95000              -675.31               107.02
1101.96000              -675.82               107.07
1101.97000              -676.34               107.12
1101.98000              -676.86               107.17
1101.99000              -677.38               107.22
1102.00000              -677.90               107.27
1102.01000              -678.42               107.32
1102.02000              -678.94               107.38
1102.03000              -679.46               107.43
1102.04000              -679.98               107.48
1102.05000              -680.50               107.53
1102.06000              -681.02               107.58
1102.07000              -681.55               107.63
1102.08000              -682.07               107.68
1102.09000              -682.60               107.73
1102.10000              -683.12               107.78
1102.11000              -683.65               107.84
