wavelength,polarizability,Uncertainty
600,-335.04,1.02
600.01,-335.07,1.02
600.02,-335.09,1.02
600.03,-335.11,1.02
600.04,-335.14,1.02
600.05,-335.16,1.02
600.06,-335.18,1.02
600.07,-335.2,1.02
600.08,-335.23,1.02
600.09,-335.25,1.02
600.1,-335.27,1.02
600.11,-335.3,1.02
600.12,-335.32,1.02
600.13,-335.34,1.02
600.14,-335.37,1.02
600.15,-335.39,1.02
600.16,-335.41,1.02
600.17,-335.43,1.02
600.18,-335.46,1.02
600.19,-335.48,1.02
600.2,-335.5,1.02
600.21,-335.53,1.02
600.22,-335.55,1.02
600.23,-335.57,1.02
600.24,-335.6,1.02
600.25,-335.62,1.02
600.26,-335.64,1.02
600.27,-335.66,1.02
600.28,-335.69,1.02
600.29,-335.71,1.02
600.3,-335.73,1.02
600.31,-335.76,1.02
600.32,-335.78,1.02
600.33,-335.8,1.02
600.34,-335.83,1.02
600.35,-335.85,1.03
600.36,-335.87,1.03
600.37,-335.89,1.03
600.38,-335.92,1.03
600.39,-335.94,1.03
600.4,-335.96,1.03
600.41,-335.99,1.03
600.42,-336.01,1.03
600.43,-336.03,1.03
600.44,-336.06,1.03
600.45,-336.08,1.03
600.46,-336.1,1.03
600.47,-336.13,1.03
600.48,-336.15,1.03
600.49,-336.17,1.03
600.5,-336.19,1.03
600.51,-336.22,1.03
600.52,-336.24,1.03
600.53,-336.26,1.03
600.54,-336.29,1.03
600.55,-336.31,1.03
600.56,-336.33,1.03
600.57,-336.36,1.03
600.58,-336.38,1.03
600.59,-336.4,1.03
600.6,-336.43,1.03
600.61,-336.45,1.03
600.62,-336.47,1.03
600.63,-336.49,1.03
600.64,-336.52,1.03
600.65,-336.54,1.03
600.66,-336.56,1.03
600.67,-336.59,1.03
600.68,-336.61,1.03
600.69,-336.63,1.03
600.7,-336.66,1.03
600.71,-336.68,1.03
600.72,-336.7,1.03
600.73,-336.73,1.03
600.74,-336.75,1.03
600.75,-336.77,1.03
600.76,-336.8,1.03
