wavelength,polarizability
1100.9,-1657.0639999999999

1100.4,-1635.906

1101.4,-1679.223

1103.9,-1815.326
1103.4,-1783.5030000000002
1105.9,-1984.363
1100.3,-1631.774
1101.5,-1683.797
1108.9,-2583.168
1109.9,-3121.868
1110.9,-4506.327
1111.9,-16685.239999999998
1112.9,3812.0840000000003
1113.9,806.854
1114.9,-14.740999999999872
1115.9,-402.14599999999984
1107.4,-2193.468
1117.9,-782.01
1118.4,-840.9639999999999
1119.4,-936.745
1119.9,-976.5
1120.9,-1044.581
1121.4,-1074.228
1122.4,-1127.125
1123.4,-1173.758
1124.4,-1216.208
1126.4,-1295.047
1126.9,-1314.62
1127.4,-1334.5810000000001
1121.7,-1090.905
1130.4,-1487.863
1131.4,-1583.0950000000003
1132.4,-1790.587
1133.4,-3383.9069999999997
1134.4,-712.4069999999999
1135.4,-1149.8799999999999
1136.4,-1288.4660000000001
1137.4,-1370.056
1138.3,-1426.991
1139.3,-1483.607
1140.3,-1539.135

1141.3,-1597.705

1142.3,-1663.165

1138.4,-1432.8490000000002

1144.3,-1835.815

1145.8,-2042.085

1139.4,-1489.132

1140.4,-1544.7930000000001

1141.4,-1603.8739999999998

1142.4,-1670.2579999999998

1142.5,-1677.471

1144.5,-1858.0549999999998

1146.5,-2185.346

1149.5,-4847.026

1150.5,-88150.342

1151.5,2525.58

1155.5,-630.0609999999999

1156.9,-811.112

1157.5,-868.807

1158.5,-948.684

1159.5,-1014.4209999999999

1160.8,-1086.196

1161.8,-1134.586

1161.9,-1139.194

1162.8,-1179.318

1163.8,-1222.038

1164.8,-1264.279

1165.8,-1307.74

1166.8,-1354.72

1168.6,-1462.748

1162.4,-1161.7540000000001

1162.9,-1183.656

1167.8,-1409.034

1168.8,-1478.525

1169.6,-1558.07

1169.8,-1584.28

1170.8,-1815.098

1171.8,-3884.88

1177.7,-1585.159

1172.8,-751.36

1173.8,-1175.461

1181.1,-1998.4470000000001

1182.1,-2228.014

1181.6,-2101.345

1181.9,-2173.931

1182.6,-2389.027

1186.1,63518.116

1187.1,2662.564

1188.1,759.392

1182.9,-2509.023

1190.1,-255.56400000000008

1191.1,-469.91900000000004

1192.1,-617.948

1193.1,-728.0100000000001

1194.1,-814.458

1195.1,-885.3720000000001

1196.1,-945.693

1197.1,-998.665

1198.1,-1046.563

1199.1,-1091.112

1200.1,-1133.751

1201.1,-1175.833

1202.1,-1218.846

1203.1,-1264.725

1204.1,-1316.46

1205.1,-1379.538

1206.1,-1466.1889999999999

1207.1,-1612.145

1208.1,-1991.3449999999998

1209.1,-30060.783

1210.1,-581.47

1211.1,-991.154

1212.1,-1146.5520000000001

1213.1,-1241.187

1214.1,-1313.404

1215.1,-1376.3429999999998

1216.1,-1436.136

1217.1,-1496.476

1218.1,-1560.209

1219.1,-1630.078

1211.7,-1095.804

1212.2,-1157.733

1218.8,-1608.297

1219.8,-1684.303

1220.3,-1726.5500000000002

1221.1,-1801.908

1221.2,-1812.123

1221.3,-1822.5359999999998

1221.4,-1833.1570000000002

1221.5,-1843.993

1221.6,-1855.0520000000001

1222.1,-1914.0189999999998

1223.0,-2039.121

1224.0,-2218.84

1226.0,-2839.124

1227.0,-3463.1839999999997

1228.0,-4746.957

1229.0,-8986.832

1230.0,48202.455

1231.0,4845.86

1232.0,2044.136

1233.0,1022.868

1242.8,-702.2800000000001

1243.8,-749.5469999999999

1244.8,-792.0929999999998

1245.8,-830.923

1246.8,-866.828

1247.8,-900.4449999999999

1248.8,-932.3129999999999

1249.8,-962.8969999999999

1250.3,-977.8420000000001

1250.8,-992.6260000000001

1251.8,-1021.9100000000001

1252.8,-1051.171

1253.8,-1080.8760000000002

1254.8,-1111.574

1255.8,-1143.956

1256.8,-1178.968

1257.8,-1217.978

1258.8,-1263.1280000000002

1259.8,-1318.04

1260.8,-1389.492

1261.8,-1491.971

1262.8,-1663.289

1263.8,-2043.9560000000001

1264.8,-3971.233

1265.8,1297.54

1266.8,-342.4560000000001

1267.8,-701.617

1268.8,-868.8109999999999

1269.8,-971.668

1270.8,-1045.6080000000002

1271.8,-1104.4470000000001

1273.7,-1195.744

1274.7,-1238.5610000000001

1275.7,-1279.972

1276.7,-1321.0929999999998

1277.7,-1362.826

1278.7,-1405.973

1272.8,-1154.758

1273.8,-1200.1280000000002

1274.8,-1242.7450000000001

1279.7,-1451.309

1275.8,-1284.0810000000001

1276.8,-1325.2250000000001

1277.8,-1367.0639999999999

1278.8,-1410.395

1279.8,-1455.993

1280.8,-1504.6770000000001

1280.7,-1499.6440000000002

1281.8,-1557.357

1282.8,-1615.1100000000001

1283.8,-1679.243

1284.8,-1751.409

1285.0,-1766.983

1286.0,-1851.672

1287.0,-1950.079

1288.0,-2066.407

1289.0,-2206.661

