wavelength,polarizability
1100.0,-583.832
1100.1,-588.193
1100.2,-592.5790000000001
1100.3,-596.992
1100.4,-601.434
1100.5,-605.906
1100.6,-610.41
1100.7,-614.948
1100.8,-619.523
1100.9,-624.135
1101.0,-628.786
1101.1,-633.48
1101.2,-638.217
1101.3,-642.999
1101.4,-647.83
1101.5,-652.71
1101.6,-657.6419999999999
1101.7,-662.6289999999999
1101.8,-667.671
1101.9,-672.773
1102.0,-677.936
1102.1,-683.1619999999999
1102.2,-688.455
1102.3,-693.817
1102.4,-699.25
1102.5,-704.758
1102.6,-710.342
1102.7,-716.007
1102.8,-721.7560000000001
1102.9,-727.591
1103.0,-733.5160000000001
1103.1,-739.534
1103.2,-745.65
1103.3,-751.8660000000001
1103.4,-758.187
1103.5,-764.617
1103.6,-771.16
1103.7,-777.821
1103.8,-784.6030000000001
1103.9,-791.513
1104.0,-798.555
1104.1,-805.735
1104.2,-813.057
1104.3,-820.529
1104.4,-828.155
1104.5,-835.943
1104.6,-843.8989999999999
1104.7,-852.0310000000001
1104.8,-860.346
1104.9,-868.8510000000001
1105.0,-877.556
1105.1,-886.4680000000001
1105.2,-895.5980000000001
1105.3,-904.955
1105.4,-914.55
1105.5,-924.393
1105.6,-934.4960000000001
1105.7,-944.872
1105.8,-955.534
1105.9,-966.495
1106.0,-977.7719999999999
1106.1,-989.3789999999999
1106.2,-1001.3330000000001
1106.3,-1013.653
1106.4,-1026.358
1106.5,-1039.469
1106.6,-1053.007
1106.7,-1066.998
1106.8,-1081.465
1106.9,-1096.437
1107.0,-1111.943
1107.1,-1128.016
1107.2,-1144.6889999999999
1107.3,-1162.001
1107.4,-1179.991
1107.5,-1198.704
1107.6,-1218.187
1107.7,-1238.493
1107.8,-1259.6789999999999
1107.9,-1281.806
1108.0,-1304.943
1108.1,-1329.165
1108.2,-1354.5539999999999
1108.3,-1381.2020000000002
1108.4,-1409.2089999999998
1108.5,-1438.6870000000001
1108.6,-1469.761
1108.7,-1502.568
1108.8,-1537.265
1108.9,-1574.026
1109.0,-1613.046
1109.1,-1654.549
1109.2,-1698.786
1109.3,-1746.045
1109.4,-1796.655
1109.5,-1850.996
1109.6,-1909.504
1109.7,-1972.69
1109.8,-2041.15
1109.9,-2115.585
1110.0,-2196.828
1110.1,-2285.8720000000003
1110.2,-2383.915
1110.3,-2492.4120000000003
1110.4,-2613.15
1110.5,-2748.348
1110.6,-2900.797
1110.7,-3074.053
1110.8,-3272.722
1110.9,-3502.8790000000004
1111.0,-3772.704
1111.1,-4093.474
1111.2,-4481.194
1111.3,-4959.353
1111.4,-5563.884
1111.5,-6352.664000000001
1111.6,-7425.276
1111.7,-8968.84
1111.8,-11381.284
1111.9,-15684.601999999999
1112.0,-25537.277000000002
1112.1,-71178.842
1112.2,86269.89300000001
1112.3,26465.592
1112.4,15491.014
1112.5,10878.883999999998
1112.6,8339.391
1112.7,6731.52
1112.8,5621.922
